GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api,api.service,JwtAuthenticationFilter,14,77,5,7,7,19,5,3,0,2
api,api.service,UserSpaceService,6,120,0,2,0,21,1,10,1,9
api,api.service,AlertCheckerService,0,144,3,17,0,32,3,10,0,3
api,api.service,JwtService,0,102,1,3,0,25,1,11,0,10
api,api.service,AuthService,0,168,0,4,0,37,0,8,0,6
api,api.service,PriceHistoryQueryService,0,123,0,12,0,23,0,8,0,2
api,api.service,CryptoAssetService,0,15,0,0,0,3,0,3,0,3
api,api.service,TradeService,23,294,2,16,0,52,5,16,3,9
api,api.controller,UserController,7,3,0,0,2,1,1,1,1,1
api,api.controller,CryptoHistoryController,6,6,0,0,1,1,1,1,1,1
api,api.controller,MeController.AddBalanceRequest,67,0,8,0,2,0,11,0,7,0
api,api.controller,TradeController,34,6,0,0,5,1,3,1,3,1
api,api.controller,MeController,52,6,0,0,13,1,5,1,5,1
api,api.controller,AuthController,0,18,0,0,0,3,0,3,0,3
api,api.controller,TradeController.QtyRequest,70,0,8,0,2,0,11,0,7,0
api,api.controller,CryptoAssetController,0,21,0,0,0,5,0,3,0,3
api,api.controller,AdminController,228,9,10,0,47,1,16,1,11,1
api,api.controller,AlertController,178,9,14,0,37,1,15,1,8,1
